"","station_id","sample_year","cruise_id","haul_date","eq_time","eq_latitude","eq_longitude","effort","effort_units","Capelin_U","Chinook Salmon_J","Chum Salmon_J","Coho Salmon_J","Pacific Cod_A0","Pacific Herring_A1+","Pacific Herring_A0","Pink Salmon_J","Pollock_A0","Rainbow Smelt_U","Saffron Cod_A1+","Saffron Cod_A0","Sockeye Salmon_J","Saffron Cod_All","Pacific Herring_All","Capelin_All","Rainbow Smelt_All","Forage"
"1",20250201001,2025,"NW2501","09/03/2025","09/03/2025 12:24:05 AM",60.0051,-168.0195,0.122950807310057,"km2",0,0.65,3.313,0.214,0,9.88,0,5.2,205.8421,0,0,0,0,0,9.88,0,0,225.0991
"2",20250201002,2025,"NW2501","09/03/2025","09/03/2025  5:14:49 PM",60.0025,-169.0765,0.175169600085327,"km2",0.074,0,0.051,0.46,0.003,0,0,0.83,146.239,0,0,0,0,0,0,0.074,0,147.657
"3",20250201003,2025,"NW2501","09/03/2025","09/03/2025  9:54:33 PM",59.9963,-170.1002,0.180733950265693,"km2",0,0,0,0,0.012,0,0,0.047,370.6993,0,0,0,0.243,0,0,0,0,371.0013
"4",20250201004,2025,"NW2501","09/04/2025","09/04/2025  2:35:16 AM",60.041,-170.9783,0.160625194403604,"km2",0,0,0.109,0,0,0,0,0.68,160.659,0,0,0,1.055,0,0,0,0,162.503
"5",20250201005,2025,"NW2501","09/04/2025","09/04/2025  5:08:16 PM",60.499,-170.8959,0.171349763849131,"km2",0,0,0,0,0,0,0,0.251,343.941,0,0,0,2.229,0,0,0,0,346.421
"6",20250201006,2025,"NW2501","09/04/2025","09/04/2025  9:40:43 PM",60.5034,-169.9224,0.147991974538404,"km2",0,0,2.191,0,0,0,0,4.176,59.3405,0,0,0,1.265,0,0,0,0,66.9725
"7",20250201007,2025,"NW2501","09/05/2025","09/05/2025  2:14:41 AM",60.5117,-168.9421,0.186221211370903,"km2",0,0.195,3.206,0,0,0.37,0,2.517,55.334,0,0,0,0,0,0.37,0,0,61.622
"8",20250201008,2025,"NW2501","09/05/2025","09/05/2025  4:50:01 PM",60.5034,-167.9148,0.183871377392372,"km2",0,1.107,9.556,0.328,0,0.168,0,5.943,93.3476,0,0.11,0,0,0.11,0.168,0,0,110.5596
"9",20250201009,2025,"NW2501","09/05/2025","09/05/2025  9:10:36 PM",60.5429,-167.0274,0.181671973665642,"km2",0,2.323,2.631,1.827,0,0.51,7.3779,1.754,1.0882,0,0,0.0154,0,0.0154,7.8879,0,0,17.5265
"10",20250201010,2025,"NW2501","09/06/2025","09/06/2025  1:19:38 AM",61.0023,-167.0784,0.182130879256357,"km2",0,0.693,5.005,1.228,0,1.132,6.1416,3.724,0.0202,0,0.044,2.5628,0,2.6068,7.2736,0,0,20.5506
"11",20250201011,2025,"NW2501","09/06/2025","09/06/2025  5:15:25 PM",61.0135,-168.0802,0.156801702477055,"km2",0.097,0.956,1.659,0,0,2.707,0.003,3.074,45.159,0,0,0.002,0,0.002,2.71,0.097,0,53.657
"12",20250201012,2025,"NW2501","09/06/2025","09/06/2025  9:36:36 PM",61.0302,-169.0521,0.181771242467182,"km2",0,0,0.059,0,0,1.259,0,0.75,11.322,0,0,0,0,0,1.259,0,0,13.39
"13",20250201013,2025,"NW2501","09/07/2025","09/07/2025  2:06:00 AM",61.0234,-170.0749,0.163636983565348,"km2",0.004,0,0.06,0,0,14.72,0,0.043,16.655,0,0,0,0,0,14.72,0.004,0,31.482
"14",20250201014,2025,"NW2501","09/07/2025","09/07/2025  7:36:26 PM",61.037,-170.9552,0.163319660278012,"km2",0,0,0.133,0,0.008,0.422,0,0.455,80.914,0,0,0,0.451,0,0.422,0,0,82.383
"15",20250201015,2025,"NW2501","09/08/2025","09/08/2025 12:59:44 AM",61.4881,-170.9364,0.166507821525561,"km2",0,0,1.275,0,0,11.68,0,3.163,12.0795,0,0,0,1.885,0,11.68,0,0,30.0825
"16",20250201016,2025,"NW2501","09/08/2025","09/08/2025  5:04:30 PM",61.4971,-169.94,0.181400454930341,"km2",0,0,0,0.324,0,0,0,0,10.3851,0,0,0,0.286,0,0,0,0,10.9951
"17",20250201017,2025,"NW2501","09/08/2025","09/08/2025  9:33:33 PM",61.4884,-168.9244,0.174518558004133,"km2",0.444,0,0,0,0,0,0,2.787,16.953,0,0,0,0,0,0,0.444,0,20.184
"18",20250201018,2025,"NW2501","09/09/2025","09/09/2025  2:00:07 AM",61.4996,-167.9631,0.146608744148583,"km2",0,1.586,0.488,0,0,0,0,1.422,161.808,0,0,0.015,0,0.015,0,0,0,165.319
"19",20250201019,2025,"NW2501","09/09/2025","09/09/2025  4:46:06 PM",61.5193,-167.0739,0.160271512286124,"km2",0,0.392,1.259,4.823,0,0.71,109.5109,0.754,0,0.111,0.063,1.7343,0,1.7973,110.2209,0,0.111,119.3572
"20",20250201020,2025,"NW2501","09/09/2025","09/09/2025  9:52:32 PM",61.9808,-167.1217,0.173091858836051,"km2",0,1.372,1.366,0.279,0,3.75,2.507,6.451,0,0.08,0,0.022,0,0.022,6.257,0,0.08,15.827
"21",20250201021,2025,"NW2501","09/10/2025","09/10/2025  2:02:17 AM",61.9675,-168.0178,0.191303576012455,"km2",0.004,0.435,0.043,0,0,4.792,0,2.257,1.732,0,0.133,0.064,0,0.197,4.792,0.004,0,9.46
"22",20250201022,2025,"NW2501","09/10/2025","09/10/2025  4:57:51 PM",61.9805,-169.0932,0.185828176908926,"km2",0.358,0,0,0,0,0.178,0,0.128,24.734,0,0,0,0,0,0.178,0.358,0,25.398
"23",20250201023,2025,"NW2501","09/10/2025","09/10/2025  9:22:06 PM",61.994,-170.0621,0.154808823380804,"km2",0,0.161,0.07,0,0,0,0,0.37,23.845,0,0,0,0,0,0,0,0,24.446
"24",20250201024,2025,"NW2501","09/11/2025","09/11/2025  1:54:22 AM",62.0257,-170.9973,0.155104956693369,"km2",0,0.171,0,0,0,0,0,0.051,15.3,0,0,0,0,0,0,0,0,15.522
"25",20250201025,2025,"NW2501","09/11/2025","09/11/2025  4:55:00 PM",62.5108,-170.9266,0.125576209392676,"km2",0.035,0,0,0,0,6.461,0,0,48.596,0,0,0,0,0,6.461,0.035,0,55.092
"26",20250201026,2025,"NW2501","09/11/2025","09/11/2025  9:17:48 PM",62.5104,-169.9254,0.201905343941024,"km2",0,0,0,0,0,0.207,0,0,27.815,0,0,0.006,0,0.006,0.207,0,0,28.028
"27",20250201027,2025,"NW2501","09/12/2025","09/12/2025  1:04:57 AM",62.5165,-168.9681,0.154708878921663,"km2",0.103,0.185,0,0,0,0,0,0.68,4.425,0,0,0,0,0,0,0.103,0,5.393
"28",20250201028,2025,"NW2501","09/13/2025","09/13/2025  4:52:07 PM",62.9739,-166.9961,0.148678288261747,"km2",0,0,0.13,0,0,0,0,0.147,0.041,0,0,0.012,0,0.012,0,0,0,0.33
"29",20250201029,2025,"NW2501","09/13/2025","09/13/2025  9:27:23 PM",62.5065,-167.0808,0.158053878024655,"km2",0,0.713,0.86,0.846,0,0,0,1.02,0.004,0,0,0,0,0,0,0,0,3.443
"30",20250201030,2025,"NW2501","09/14/2025","09/14/2025  1:53:33 AM",62.4943,-168.0293,0.1453440259754,"km2",0,0,0.349,0,0,0.055,0,2.439,5.35,0,0,0.001,0,0.001,0.055,0,0,8.194
"31",20250201031,2025,"NW2501","09/14/2025","09/14/2025  5:08:51 PM",63.0426,-165.9758,0.177488296165,"km2",0,3.276,0.228,5.477,0,1.203,12.48,0,0,0.114,0,0.006,0,0.006,13.683,0,0.114,22.784
"32",20250201032,2025,"NW2501","09/14/2025","09/14/2025  9:23:58 PM",63.4919,-166.0819,0.17558845478599,"km2",0,0.306,1.965,5.283,0,0.15,0,1.139,0,0,0,0,0.109,0,0.15,0,0,8.952
"33",20250201033,2025,"NW2501","09/15/2025","09/15/2025  1:33:20 AM",63.4961,-167.0465,0.147280494148935,"km2",0,0,0.243,0,0,0,0,3.36,0.004,0,0,0,0,0,0,0,0,3.607
"34",20250201034,2025,"NW2501","09/15/2025","09/15/2025  5:04:21 PM",63.5375,-167.9999,0.146653271718589,"km2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",20250201035,2025,"NW2501","09/15/2025","09/15/2025  9:29:58 PM",63.9991,-168.1259,0.167448591208104,"km2",0,0.244,1.066,0.618,0,0,0,3.448,0.164,0,0,0,0.15,0,0,0,0,5.69
"36",20250201036,2025,"NW2501","09/16/2025","09/16/2025  1:26:24 AM",64.0332,-168.9986,0.158759988354343,"km2",0,0,0,0,0,0,0,0,0.123,0,0,0,0,0,0,0,0,0.123
"37",20250201037,2025,"NW2501","09/16/2025","09/16/2025  5:02:58 PM",64.5015,-168.8843,0.165133940474231,"km2",0.008,0,0.185,0,0,0,0,0.727,170.3283,0,0,0,0.816,0,0,0.008,0,172.0643
"38",20250201038,2025,"NW2501","09/16/2025","09/16/2025  9:05:40 PM",64.5592,-168.0111,0.184191009187133,"km2",0,0.183,2.032,0.345,0,0,0,17.772,8.4488,0,0,0,0.337,0,0,0,0,29.1178
"39",20250201039,2025,"NW2501","09/17/2025","09/17/2025  1:34:20 AM",65.0025,-167.603,0.170351915474006,"km2",0.003,0,0.251,0,0,0,0,4.842,0.027,0,0,0.004,0,0.004,0,0.003,0,5.127
"40",20250201040,2025,"NW2501","09/17/2025","09/17/2025  4:55:42 PM",64.4458,-167.0223,0.170232384489194,"km2",0,0,0.391,0,0,0,0,2.39,0,0,0,3.3343,0,3.3343,0,0,0,6.1153
"41",20250201041,2025,"NW2501","09/17/2025","09/17/2025  9:09:30 PM",63.9905,-166.9632,0.148885457613013,"km2",0,0.338,1.072,0,0,0.708,0,5.052,0,0.03,0,0.052,0,0.052,0.708,0,0.03,7.252
"42",20250201042,2025,"NW2501","09/18/2025","09/18/2025  1:21:21 AM",64.0086,-165.9441,0.175412939320144,"km2",0,1.433,0.675,0,0,0,6.0128,0,0,0.1,0,0.0968,0,0.0968,6.0128,0,0.1,8.3176
"43",20250201043,2025,"NW2501","09/18/2025","09/18/2025  4:44:32 PM",64.0991,-162.5988,0.193033886931853,"km2",0,0.094,0.098,0,0,0.136,97.2095,0,0,2.1392,0.095,0,0,0.095,97.3455,0,2.1392,99.7717
"44",20250201044,2025,"NW2501","09/18/2025","09/18/2025  8:32:01 PM",64.1047,-163.616,0.216000842809649,"km2",0,0.59,0.61,0,0,0.174,55.0429,0,0,1.0018,0.053,0.051,0,0.104,55.2169,0,1.0018,57.5227
"45",20250201045,2025,"NW2501","09/19/2025","09/19/2025 12:10:21 AM",64.1016,-164.4948,0.147832452014358,"km2",0,0,0.037,0,0,0,33.3633,0,0,1.8839,0,0,0,0,33.3633,0,1.8839,35.2842
