"","station_id","event_code","gear","species_tsn","common_name","scientific_name","lhs_code","sample_year","cruise_id","haul_date","tow_type","gear_performance","eq_time","haulback_time","eq_latitude","eq_longitude","haulback_latitude","haulback_longitude","nbs_strata","oceanographic_domain","effort","effort_units","master_station_name","sampling_method_code","total_catch_number","total_catch_weight","sub_sample_weight","sub_sample_number","cpue_num","cpue_weight"
"1",20250201001,4,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/03/2025","S","G","09/03/2025 12:24:05 AM","09/03/2025 12:54:08 AM",60.0051,-168.0195,60.005,-168.0703,1,1,0.122950807310057,"km2","60-168","SC",162178.6263,205842.1,66,52,1319052.95986401,1674182.5816638
"2",20250201002,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/03/2025","S","G","09/03/2025  5:14:49 PM","09/03/2025  5:44:53 PM",60.0025,-169.0765,59.9962,-169.1431,2,1,0.175169600085327,"km2","60-169","SC",164145.8163,146239,49,55,937067.939985265,834842.346667261
"3",20250201003,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/03/2025","S","G","09/03/2025  9:54:33 PM","09/03/2025 10:24:37 PM",59.9963,-170.1002,59.9967,-170.1719,2,2,0.180733950265693,"km2","60-170","SC",454631.241,370699.3,53,65,2515472.27475334,2051077.28489884
"4",20250201004,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/04/2025","S","G","09/04/2025  2:35:16 AM","09/04/2025  3:05:20 AM",60.041,-170.9783,60.0745,-170.9739,2,2,0.160625194403604,"km2","60-171","SC",177750.337,160659,47,52,1106615.54471564,1000210.46260222
"5",20250201005,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/04/2025","S","G","09/04/2025  5:08:16 PM","09/04/2025  5:38:20 PM",60.499,-170.8959,60.5006,-170.8289,2,2,0.171349763849131,"km2","60.5-171","SC",294014.0659,343941,62,53,1715870.85558444,2007245.25248153
"6",20250201006,1,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/04/2025","S","G","09/04/2025  9:40:43 PM","09/04/2025 10:10:47 PM",60.5034,-169.9224,60.5067,-169.8638,2,1,0.147991974538404,"km2","60.5-170","SC",58176.9997,59340.5,51,50,393109.152583832,400971.067418261
"7",20250201007,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/05/2025","S","G","09/05/2025  2:14:41 AM","09/05/2025  2:44:45 AM",60.5117,-168.9421,60.5178,-168.8707,2,1,0.186221211370903,"km2","60.5-169","SC",56358.7037,55334,54,55,302643.846450706,297141.23108022
"8",20250201008,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/05/2025","S","G","09/05/2025  4:50:01 PM","09/05/2025  5:20:05 PM",60.5034,-167.9148,60.5061,-167.8428,1,1,0.183871377392372,"km2","60.5-168","SC",44843.4332,93347.6,102,49,243884.795099492,507678.798755072
"9",20250201009,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/05/2025","S","G","09/05/2025  9:10:36 PM","09/05/2025  9:40:40 PM",60.5429,-167.0274,60.577,-167.0393,1,1,0.181671973665642,"km2","60.5-167","SC",630.6437,1088.2,88,51,3471.33180355418,5989.91676064893
"10",20250201010,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/06/2025","S","G","09/06/2025  1:19:38 AM","09/06/2025  1:49:42 AM",61.0023,-167.0784,61.0122,-167.1456,1,1,0.182130879256357,"km2","61-167","SC",5.0548,20.2,4,1,27.7536682447195,110.909254281739
"11",20250201011,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/06/2025","S","G","09/06/2025  5:15:25 PM","09/06/2025  5:45:30 PM",61.0135,-168.0802,61.0149,-168.1413,1,1,0.156801702477055,"km2","61-168","SC",25544.4848,45159,99,56,162909.486290418,288000.699524345
"12",20250201012,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/06/2025","S","G","09/06/2025  9:36:36 PM","09/06/2025 10:06:41 PM",61.0302,-169.0521,61.0312,-169.124,2,1,0.181771242467182,"km2","61-169","SC",11322,11322,52,52,62287.0804332217,62287.0804332217
"13",20250201013,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/07/2025","S","G","09/07/2025  2:06:00 AM","09/07/2025  2:36:04 AM",61.0234,-170.0749,61.0272,-170.1386,2,1,0.163636983565348,"km2","61-170","SC",11103.3333,16655,75,50,67853.446440278,101780.169965971
"14",20250201014,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/07/2025","S","G","09/07/2025  7:36:26 PM","09/07/2025  8:06:30 PM",61.037,-170.9552,61.0691,-170.9507,2,2,0.163319660278012,"km2","61-171","SC",54671.6216,80914,74,50,334752.236852164,495433.310737137
"15",20250201015,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/08/2025","S","G","09/08/2025 12:59:44 AM","09/08/2025  1:30:15 AM",61.4881,-170.9364,61.4933,-170.8702,4,1,0.166507821525561,"km2","61.5-171","SC",7221.4206,12079.5,92,55,43369.858147423,72546.1416126067
"16",20250201016,4,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/08/2025","S","G","09/08/2025  5:04:30 PM","09/08/2025  5:34:34 PM",61.4971,-169.94,61.5011,-169.8692,4,1,0.181400454930341,"km2","61.5-170","SC",5106.0268,10385.1,120,59,28147.8169498569,57249.5807906764
"17",20250201017,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/08/2025","S","G","09/08/2025  9:33:33 PM","09/08/2025 10:03:37 PM",61.4884,-168.9244,61.4893,-168.8556,4,1,0.174518558004133,"km2","61.5-169","SC",39065.6087,16953,23,53,223847.876963749,97141.5315017588
"18",20250201018,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/09/2025","S","G","09/09/2025  2:00:07 AM","09/09/2025  2:30:11 AM",61.4996,-167.9631,61.5005,-167.9054,3,1,0.146608744148583,"km2","61.5-168","SC",54664.8649,161808,148,50,372862.24104477,1103672.23278315
"19",20250201019,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/09/2025","S","G","09/09/2025  4:46:06 PM","09/09/2025  5:16:10 PM",61.5193,-167.0739,61.5475,-167.0813,3,1,0.160271512286124,"km2","61.5-167",NA,0,0,NA,NA,0,0
"20",20250201020,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/09/2025","S","G","09/09/2025  9:52:32 PM","09/09/2025 10:22:37 PM",61.9808,-167.1217,61.9671,-167.1843,3,1,0.173091858836051,"km2","62-167",NA,0,0,NA,NA,0,0
"21",20250201021,4,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/10/2025","S","G","09/10/2025  2:02:17 AM","09/10/2025  2:32:19 AM",61.9675,-168.0178,61.9325,-168.0336,3,1,0.191303576012455,"km2","62-168","SC",617.7063,1732,143,51,3228.93232251855,9053.67289050172
"22",20250201022,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/10/2025","S","G","09/10/2025  4:57:51 PM","09/10/2025  5:27:54 PM",61.9805,-169.0932,61.9711,-169.1664,4,1,0.185828176908926,"km2","62-169","SC",14722.619,24734,84,50,79227.0539640257,133101.451090068
"23",20250201023,4,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/10/2025","S","G","09/10/2025  9:22:06 PM","09/10/2025  9:52:09 PM",61.994,-170.0621,61.9939,-170.1238,4,1,0.154808823380804,"km2","62-170","SC",17392.8235,23845,85,62,112350.337145943,154028.68828313
"24",20250201024,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/11/2025","S","G","09/11/2025  1:54:22 AM","09/11/2025  2:24:24 AM",62.0257,-170.9973,62.0553,-171.0088,4,1,0.155104956693369,"km2","62-171","SC",38250,15300,20,50,246607.205955496,98642.8823821986
"25",20250201025,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/11/2025","S","G","09/11/2025  4:55:00 PM","09/11/2025  5:25:03 PM",62.5108,-170.9266,62.521,-170.8724,4,1,0.125576209392676,"km2","62.5-171","SC",26997.7778,48596,90,50,214991.182888616,386984.128880978
"26",20250201026,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/11/2025","S","G","09/11/2025  9:17:48 PM","09/11/2025  9:47:52 PM",62.5104,-169.9254,62.5169,-169.843,4,1,0.201905343941024,"km2","62.5-170","SC",17016.2353,27815,85,52,84278.2809402529,137762.574566252
"27",20250201027,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/12/2025","S","G","09/12/2025  1:04:57 AM","09/12/2025  1:34:58 AM",62.5165,-168.9681,62.5336,-168.9085,4,1,0.154708878921663,"km2","62.5-169","SC",2107.1429,4425,105,50,13620.0515102107,28602.1075897047
"28",20250201028,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/13/2025","S","G","09/13/2025  4:52:07 PM","09/13/2025  5:22:11 PM",62.9739,-166.9961,62.942,-166.9975,5,1,0.148678288261747,"km2","63-167","TC",31,41,41,31,208.503880172636,275.763196357358
"29",20250201029,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/13/2025","S","G","09/13/2025  9:27:23 PM","09/13/2025  9:57:27 PM",62.5065,-167.0808,62.5071,-167.147,3,1,0.158053878024655,"km2","62.5-167","TC",3,4,4,3,18.9808692927612,25.3078257236816
"30",20250201030,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/14/2025","S","G","09/14/2025  1:53:33 AM","09/14/2025  2:23:37 AM",62.4943,-168.0293,62.4939,-168.0884,3,1,0.1453440259754,"km2","62.5-168","SC",2318.3333,5350,120,52,15950.6610914465,36809.2184325863
"31",20250201031,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/14/2025","S","G","09/14/2025  5:08:51 PM","09/14/2025  5:38:54 PM",63.0426,-165.9758,63.076,-165.9797,5,1,0.177488296165,"km2","63-166",NA,0,0,NA,NA,0,0
"32",20250201032,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/14/2025","S","G","09/14/2025  9:23:58 PM","09/14/2025  9:54:02 PM",63.4919,-166.0819,63.4936,-166.1544,5,1,0.17558845478599,"km2","63.5-166",NA,0,0,NA,NA,0,0
"33",20250201033,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/15/2025","S","G","09/15/2025  1:33:20 AM","09/15/2025  2:03:23 AM",63.4961,-167.0465,63.4919,-167.1101,5,1,0.147280494148935,"km2","63.5-167","TC",3,4,4,3,20.3692961334466,27.1590615112621
"34",20250201034,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/15/2025","S","G","09/15/2025  5:04:21 PM","09/15/2025  5:35:12 PM",63.5375,-167.9999,63.568,-168.0008,5,1,0.146653271718589,"km2","63.5-168",NA,0,0,NA,NA,0,0
"35",20250201035,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/15/2025","S","G","09/15/2025  9:29:58 PM","09/15/2025 10:00:01 PM",63.9991,-168.1259,63.9996,-168.2034,8,1,0.167448591208104,"km2","64-168.25","SC",174.25,164,48,51,1040.61789199196,979.405074815959
"36",20250201036,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/16/2025","S","G","09/16/2025  1:26:24 AM","09/16/2025  1:56:27 AM",64.0332,-168.9986,64.0638,-169.0207,9,1,0.158759988354343,"km2","64-169","SC",89.9552,123,67,49,566.611278650546,774.754403014135
"37",20250201037,4,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/16/2025","S","G","09/16/2025  5:02:58 PM","09/16/2025  5:33:01 PM",64.5015,-168.8843,64.5023,-168.8062,9,1,0.165133940474231,"km2","64.5-169","SC",101385.8835,170328.3,84,50,613961.510328164,1031455.43254677
"38",20250201038,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/16/2025","S","G","09/16/2025  9:05:40 PM","09/16/2025  9:35:42 PM",64.5592,-168.0111,64.5941,-168.0044,8,1,0.184191009187133,"km2","64.5-168","SC",6629.091,8448.8,65,51,35990.307177616,45869.7741941153
"39",20250201039,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/17/2025","S","G","09/17/2025  1:34:20 AM","09/17/2025  2:04:23 AM",65.0025,-167.603,65.0007,-167.6797,11,1,0.170351915474006,"km2","65-167.5","TC",11,27,27,11,64.5722119965155,158.495429445993
"40",20250201040,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/17/2025","S","G","09/17/2025  4:55:42 PM","09/17/2025  5:25:45 PM",64.4458,-167.0223,64.4096,-167.0355,8,1,0.170232384489194,"km2","64.5-167",NA,0,0,NA,NA,0,0
"41",20250201041,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/17/2025","S","G","09/17/2025  9:09:30 PM","09/17/2025  9:39:34 PM",63.9905,-166.9632,63.991,-166.8934,8,1,0.148885457613013,"km2","64-167",NA,0,0,NA,NA,0,0
"42",20250201042,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/18/2025","S","G","09/18/2025  1:21:21 AM","09/18/2025  1:51:24 AM",64.0086,-165.9441,64.0165,-165.8672,8,1,0.175412939320144,"km2","64-166",NA,0,0,NA,NA,0,0
"43",20250201043,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/18/2025","S","G","09/18/2025  4:44:32 PM","09/18/2025  5:14:35 PM",64.0991,-162.5988,64.0982,-162.6842,6,1,0.193033886931853,"km2","64-162.5",NA,0,0,NA,NA,0,0
"44",20250201044,2,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/18/2025","S","G","09/18/2025  8:32:01 PM","09/18/2025  9:02:04 PM",64.1047,-163.616,64.1034,-163.7136,6,1,0.216000842809649,"km2","64-163.5",NA,0,0,NA,NA,0,0
"45",20250201045,5,"CAN",934083,"Pollock","Gadus chalcogrammus","A0",2025,"NW2501","09/19/2025","S","G","09/19/2025 12:10:21 AM","09/19/2025 12:40:25 AM",64.1016,-164.4948,64.1014,-164.4264,6,1,0.147832452014358,"km2","64-164.5",NA,0,0,NA,NA,0,0
